Setor;Codigo;Ação;Tipo;Qtde. Teorica;Part. (%);Part. (%)Acum.
Bens Indls ;WEGE3;WEG;ON      NM;1.484.859.030;2;2,117
Bens Indls ;EMBR3;EMBRAER;ON      NM;734.588.205;0.528;0,528
Bens Indls;AZUL4;AZUL;PN      N2;327.741.172;0.282;2,449
Bens Indls;CCRO3;CCR SA;ON      NM;1.115.693.556;0.765;2,449
Bens Indls;ECOR3;ECORODOVIAS;ON      NM;339.237.914;0.102;2,449
Bens Indls;GOLL4;GOL;PN      N2;167.095.214;0.095;2,449
Bens Indls;RAIL3;RUMO S.A.;ON      NM;1.216.056.103;1;2,449
Comput e Equips;POSI3;POSITIVO TEC;ON      NM;78.053.723;0.044;0,044
Cons N  Básico ;BRFS3;BRF SA;ON      NM;1.076.512.610;0.88;3,244
Cons N  Básico ;JBSS3;JBS;ON      NM;1.290.736.673;2;3,244
Cons N  Básico ;MRFG3;MARFRIG;ON  ED  NM;348.234.011;0.245;3,244
Cons N  Básico ;BEEF3;MINERVA;ON  ED  NM;260.409.710;0.206;3,244
Cons N Cíclico ;ABEV3;AMBEV S/A;ON;4.380.195.841;3,396;3,396
Cons N Cíclico ;ASAI3;ASSAI;ON      NM;794.531.367;0.705;1,272
Cons N Cíclico ;CRFB3;CARREFOUR BR;ON      NM;410.988.561;0.408;1,272
Cons N Cíclico ;PCAR3;P.ACUCAR-CBD;ON      NM;156.946.474;0.159;1,272
Cons N Cíclico ;NTCO3;GRUPO NATURA;ON      NM;834.914.221;0.641;0,641
Cons N Ciclico;SLCE3;SLC AGRICOLA;ON      NM;96.270.946;0.23;0,230
Consumo Cíclico ;AMER3;AMERICANAS;ON      NM;596.875.824;0.535;3,292
Consumo Cíclico ;SOMA3;GRUPO SOMA;ON      NM;489.316.435;0.324;3,292
Consumo Cíclico ;LREN3;LOJAS RENNER;ON      NM;977.821.540;1;3,292
Consumo Cíclico ;MGLU3;MAGAZ LUIZA;ON      NM;2.896.234.638;0.656;3,292
Consumo Cíclico ;PETZ3;PETZ;ON      NM;336.154.589;0.174;3,292
Consumo Cíclico ;VIIA3;VIA;ON      NM;1.596.295.753;0.258;3,292
Consumo Cíclico ;ALPA4;ALPARGATAS;PN      N1;201.257.220;0.223;0,223
Consumo Cíclico;CYRE3;CYRELA REALT;ON      NM;281.609.283;0.198;0,534
Consumo Cíclico;EZTC3;EZTEC;ON      NM;101.618.236;0.091;0,534
Consumo Cíclico;JHSF3;JHSF PART;ON      NM;305.915.142;0.096;0,534
Consumo Cíclico;MRVE3;MRV;ON      NM;294.647.234;0.149;0,534
Consumo Cíclico;CVCB3;CVC BRASIL;ON      NM;276.543.929;0.11;0,110
Diversos;COGN3;COGNA ON;ON      NM;1.828.106.676;0.239;2,669
Diversos;RENT3;LOCALIZA;ON      NM;735.708.470;2;2,669
Diversos;YDUQ3;YDUQS PART;ON      NM;300.833.122;0.189;2,669
Financ e Outros ;BRML3;BR MALLS PAR;ON      NM;828.273.884;0.348;0,867
Financ e Outros ;IGTI11;IGUATEMI S.A;UNT     N1;180.013.980;0.181;0,867
Financ e Outros ;MULT3;MULTIPLAN;ON      N2;272.718.548;0.338;0,867
Financ e Outros ;BPAN4;BANCO PAN;PN      N1;341.124.068;0.121;19,893
Financ e Outros ;BBDC3;BRADESCO;ON      N1;1.516.726.535;1;19,893
Financ e Outros ;BBDC4;BRADESCO;PN      N1;5.160.570.290;5;19,893
Financ e Outros ;BBAS3;BRASIL;ON  EX  NM;1.420.530.937;3;19,893
Financ e Outros ;BPAC11;BTGP BANCO;UNT     N2;1.301.655.996;2;19,893
Financ e Outros ;ITSA4;ITAUSA;PN  EJ  N1;4.736.140.654;2;19,893
Financ e Outros ;ITUB4;ITAUUNIBANCO;PN  EJ  N1;4.781.077.143;6;19,893
Financ e Outros ;SANB11;SANTANDER BR;UNT;362.703.399;0.54;19,893
Financ e Outros ;BBSE3;BBSEGURIDADE;ON  ED  NM;671.629.692;0.944;1,411
Financ e Outros ;IRBR3;IRBBRASIL RE;ON      NM;1.255.286.531;0.122;1,411
Financ e Outros ;SULA11;SUL AMERICA;UNT     N2;283.167.854;0.345;1,411
Financeiro e Outros;B3SA3;B3;ON      NM;5.987.625.321;4;4,017
Financeiro e Outros;CIEL3;CIELO;ON      NM;1.144.359.228;0.335;4,017
Mats Básicos ;DXCO3;DEXCO;ON      NM;295.712.871;0.157;2,579
Mats Básicos ;KLBN11;KLABIN S/A;UNT     N2;812.994.397;0.791;2,579
Mats Básicos ;SUZB3;SUZANO S.A.;ON      NM;726.779.281;2;2,579
Mats Básicos ;BRAP4;BRADESPAR;PN      N1;251.402.249;0.287;13,223
Mats Básicos ;CMIN3;CSNMINERACAO;ON      N2;1.120.593.365;0.213;13,223
Mats Básicos ;VALE3;VALE;ON      NM;3.768.748.489;13;13,223
Mats Básicos ;BRKM5;BRASKEM;PNA     N1;264.975.728;0.427;0,427
Mats Básicos ;GGBR4;GERDAU;PN      N1;1.097.534.498;1;2,353
Mats Básicos ;GOAU4;GERDAU MET;PN      N1;698.275.321;0.348;2,353
Mats Básicos ;CSNA3;SID NACIONAL;ON;642.398.790;0.477;2,353
Mats Básicos ;USIM5;USIMINAS;PNA     N1;514.680.651;0.221;2,353
Petróleo;RRRP3;3R PETROLEUM;ON      NM;200.372.163;0.368;17,050
Petróleo;CSAN3;COSAN;ON      NM;1.171.063.698;1;17,050
Petróleo;PETR3;PETROBRAS;ON      N2;2.706.334.382;5;17,050
Petróleo;PETR4;PETROBRAS;PN      N2;4.566.442.248;8;17,050
Petróleo;PRIO3;PETRORIO;ON      NM;839.159.130;1;17,050
Petróleo;UGPA3;ULTRAPAR;ON      NM;1.086.067.887;0.754;17,050
Petróleo;VBBR3;VIBRA;ON      NM;1.131.883.365;1;17,050
Saúde;HYPE3;HYPERA;ON      NM;410.253.528;0.878;2,054
Saúde;RADL3;RAIADROGASIL;ON      NM;1.071.076.905;1;2,054
Saúde;FLRY3;FLEURY;ON      NM;303.373.882;0.246;3,440
Saúde;HAPV3;HAPVIDA;ON      NM;4.454.692.382;2;3,440
Saúde;QUAL3;QUALICORP;ON      NM;277.027.077;0.139;3,440
Saúde;RDOR3;REDE D OR;ON      NM;772.010.260;1;3,440
Tec.Informação;LWSA3;LOCAWEB;ON      NM;418.965.264;0.2;0,994
Tec.Informação;CASH3;MELIUZ;ON      NM;548.153.725;0.036;0,994
Tec.Informação;TOTS3;TOTVS;ON      NM;519.851.955;0.758;0,994
Telecomunicação;VIVT3;TELEF BRASIL;ON;413.890.875;0.865;1,342
Telecomunicação;TIMS3;TIM;ON      NM;808.619.532;0.477;1,342
Utilidade Públ ;SBSP3;SABESP;ON      NM;340.001.934;0.802;0,802
Utilidade Públ ;CMIG4;CEMIG;PN      N1;1.448.479.060;0.883;8,799
Utilidade Públ ;CPLE6;COPEL;PNB     N2;1.563.365.506;0.543;8,799
Utilidade Públ ;CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0.328;8,799
Utilidade Públ ;ELET3;ELETROBRAS;ON      N1;985.704.248;2;8,799
Utilidade Públ ;ELET6;ELETROBRAS;PNB     N1;242.987.127;0.571;8,799
Utilidade Públ ;ENBR3;ENERGIAS BR;ON      NM;230.931.405;0.262;8,799
Utilidade Públ ;ENGI11;ENERGISA;UNT ED  N2;248.477.689;0.522;8,799
Utilidade Públ ;ENEV3;ENEVA;ON      NM;1.557.479.978;1;8,799
Utilidade Públ ;EGIE3;ENGIE BRASIL;ON      NM;255.217.329;0.511;8,799
Utilidade Públ ;EQTL3;EQUATORIAL;ON      NM;1.100.513.485;1;8,799
Utilidade Públ ;TAEE11;TAESA;UNT     N2;218.568.234;0.435;8,799
Quantidade Teórica Total;;;;96.848.399.913;100,000;100,000
Redutor;;;;17.997.410,33016460;;
