,ano,mes,id_categoria,id_categoria_bd,categoria,peso_mensal,variacao_mensal,variacao_anual,variacao_doze_meses,date
0,2020,5,,0.0.00.000,Índice geral,100.0,-0.38,-0.16,,2020-05-01
1,2020,12,,0.0.00.000,Índice geral,100.0,1.35,4.52,4.52,2020-12-01
2,2020,10,,0.0.00.000,Índice geral,100.0,0.86,2.22,,2020-10-01
3,2020,11,,0.0.00.000,Índice geral,100.0,0.89,3.13,,2020-11-01
4,2020,8,,0.0.00.000,Índice geral,100.0,0.24,0.7,,2020-08-01
5,2020,4,,0.0.00.000,Índice geral,100.0,-0.31,0.22,,2020-04-01
6,2020,6,,0.0.00.000,Índice geral,100.0,0.26,0.1,,2020-06-01
7,2020,7,,0.0.00.000,Índice geral,100.0,0.36,0.46,,2020-07-01
8,2020,3,,0.0.00.000,Índice geral,100.0,0.07,0.53,,2020-03-01
9,2020,9,,0.0.00.000,Índice geral,100.0,0.64,1.34,,2020-09-01
10,2020,2,,0.0.00.000,Índice geral,100.0,0.25,0.46,,2020-02-01
11,2020,1,,0.0.00.000,Índice geral,100.0,0.21,0.21,,2020-01-01
12,2020,8,1,1.0.00.000,Alimentação e bebidas,20.0474,0.78,4.91,,2020-08-01
13,2020,12,1,1.0.00.000,Alimentação e bebidas,21.037,1.74,14.09,14.09,2020-12-01
14,2020,11,1,1.0.00.000,Alimentação e bebidas,20.6985,2.54,12.14,,2020-11-01
15,2020,2,1,1.0.00.000,Alimentação e bebidas,19.3816,0.11,0.5,,2020-02-01
16,2020,10,1,1.0.00.000,Alimentação e bebidas,20.4823,1.93,9.37,,2020-10-01
17,2020,1,1,1.0.00.000,Alimentação e bebidas,19.3483,0.39,0.39,,2020-01-01
18,2020,6,1,1.0.00.000,Alimentação e bebidas,20.0937,0.38,4.09,,2020-06-01
19,2020,9,1,1.0.00.000,Alimentação e bebidas,20.1553,2.28,7.3,,2020-09-01
20,2020,3,1,1.0.00.000,Alimentação e bebidas,19.3545,1.13,1.63,,2020-03-01
21,2020,5,1,1.0.00.000,Alimentação e bebidas,19.9696,0.24,3.7,,2020-05-01
22,2020,4,1,1.0.00.000,Alimentação e bebidas,19.5588,1.79,3.45,,2020-04-01
23,2020,7,1,1.0.00.000,Alimentação e bebidas,20.1194,0.01,4.1,,2020-07-01
24,2020,1,11,1.1.00.000,Alimentação no domicílio,13.4813,0.2,0.2,,2020-01-01
25,2020,5,11,1.1.00.000,Alimentação no domicílio,13.9796,0.33,4.28,,2020-05-01
26,2020,9,11,1.1.00.000,Alimentação no domicílio,14.203,2.89,9.17,,2020-09-01
27,2020,10,11,1.1.00.000,Alimentação no domicílio,14.5185,2.57,11.97,,2020-10-01
28,2020,2,11,1.1.00.000,Alimentação no domicílio,13.4791,0.06,0.26,,2020-02-01
29,2020,7,11,1.1.00.000,Alimentação no domicílio,14.1072,0.14,4.89,,2020-07-01
30,2020,8,11,1.1.00.000,Alimentação no domicílio,14.0739,1.15,6.1,,2020-08-01
31,2020,11,11,1.1.00.000,Alimentação no domicílio,14.764,3.33,15.7,,2020-11-01
32,2020,12,11,1.1.00.000,Alimentação no domicílio,15.121,2.12,18.15,18.15,2020-12-01
33,2020,6,11,1.1.00.000,Alimentação no domicílio,14.0788,0.45,4.75,,2020-06-01
34,2020,3,11,1.1.00.000,Alimentação no domicílio,13.454,1.4,1.66,,2020-03-01
35,2020,4,11,1.1.00.000,Alimentação no domicílio,13.6323,2.24,3.94,,2020-04-01
36,2020,10,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.9169,9.92,47.56,,2020-10-01
37,2020,8,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.812,0.91,18.87,,2020-08-01
38,2020,11,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.9992,4.93,54.84,,2020-11-01
39,2020,4,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.7039,6.95,9.27,,2020-04-01
40,2020,9,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.8176,12.93,34.24,,2020-09-01
41,2020,12,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,1.0392,3.61,60.42,60.42,2020-12-01
42,2020,6,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.7858,3.54,17.33,,2020-06-01
43,2020,3,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.6962,1.19,2.18,,2020-03-01
44,2020,2,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.6964,0.22,0.97,,2020-02-01
45,2020,5,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.755,3.7,13.32,,2020-05-01
46,2020,7,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.8119,0.4,17.8,,2020-07-01
47,2020,1,1101,1.1.01.000,Cereais. leguminosas e oleaginosas,0.6927,0.75,0.75,,2020-01-01
48,2020,2,1101002,1.1.01.002,Arroz,0.4806,1.0,2.33,,2020-02-01
49,2020,3,1101002,1.1.01.002,Arroz,0.4842,1.6,3.96,,2020-03-01
50,2020,5,1101002,1.1.01.002,Arroz,0.5121,2.01,10.17,,2020-05-01
51,2020,1,1101002,1.1.01.002,Arroz,0.4753,1.31,1.31,,2020-01-01
52,2020,6,1101002,1.1.01.002,Arroz,0.5244,2.74,13.19,,2020-06-01
53,2020,4,1101002,1.1.01.002,Arroz,0.4915,3.88,8.0,,2020-04-01
54,2020,11,1101002,1.1.01.002,Arroz,0.7412,6.28,69.5,,2020-11-01
55,2020,12,1101002,1.1.01.002,Arroz,0.7806,3.84,76.01,76.01,2020-12-01
56,2020,8,1101002,1.1.01.002,Arroz,0.5474,3.08,19.25,,2020-08-01
